Person,Organization,City,Country,Start,End,Trip Group,Venue,Meeting,Agenda,CMD,ID
Rex Tillerson,US Government,Beirut,Lebanon,2/16/2018,2/16/2018,,,Saad Hariri,Bilateral Meeting with Lebanese Prime Minister,,
Jim Kim,World Bank,,Spain,2/18/2018,2/19/2018,,,,Bilateral Meetings,,
Mark Green,US Government,London,UK,2/18/2018,2/19/2018,,,, U.S.-UK Strategic Dialogue on Development,,
Mark Green,US Government,London,UK,2/18/2018,2/19/2018, U.S.-UK Strategic Dialogue on Development,, U.S.-UK Strategic Dialogue on Development,,,
John Sullivan,US Government,Rome,Italy,2/18/2018,2/20/2018,,,,,,
John Sullivan,US Government,Kyiv,Ukraine,2/21/2018,2/21/2018,,Petro Poroshenko,,Bilateral Meeting with Ukrainian President,,
John Sullivan,US Government,Kyiv,Ukraine,2/21/2018,2/21/2018,,Volodymyr Groysman,,Bilateral Meeting with Ukrainian Prime Minster,,
John Sullivan,US Government,Kyiv,Ukraine,2/21/2018,2/21/2018,,Pavlo Klimkin,,Bilateral Meeting with Ukrainian Foreign Minister,,
John Sullivan,US Government,Riga,Latvia,2/22/2018,2/22/2018,Nato Conference,,Nato Conference,,,
Jim Kim,World Bank,"Washington, DC",United States,2/23/2018,2/23/2018,,,,Council on Foreign Relations ,,
John Sullivan,US Government,Brussels,Belgium,2/23/2018,2/23/2018,G5 Sahel Donors,,G5 Sahel Donors,,,
Kristalina Georgieva,World Bank,"Washington, DC",United States,3/8/2018,3/8/2018,,,Madeline Albright,Meeting with Madeline Albright,,
Mike Pence,US Government,Seoul,South Korea,4/15/2018,4/18/2018,,,,Bilateral Meetings (TBD),,
Mike Pence,US Government,Tokyo,Japan,4/18/2018,4/19/2018,,,,Bilateral Meetings (TBD),,
Mike Pence,US Government,Jakarta,Indonesia,4/19/2018,4/21/2018,,,,Bilateral Meetings (TBD),,
Mike Pence,US Government,Sydney,Australia,4/21/2018,4/25/2018,,,,Bilateral Meetings (TBD),,
